,name,description,rating,best_rating,rating_count,genre,for_family,producer,director,country,time,date
1091,Триггер. Фильм,"Нельзя бежать от себя и от прошлого — этот совет психолог Артем Стрелецкий постоянно дает своим клиентам. Но, столкнувшись с крушением всего, что было ему дорого, он сам бежит прочь, подальше от того, что вызывает боль. Теперь Артем живет у моря — там, где провел собственное детство с мамой, место, где был счастлив. Он находит новую работу, не связанную с психологией, и заводит новые отношения. Но прошлое догоняет его даже за многие километры от дома — ведь чтобы стать счастливым в новой жизни, надо перестать бежать от старой и поставить в ней точку.",,,,['драма'],,,,['Россия'],,2023
1092,Реальные упыри,Очаровательные вампиры-соседи становятся героями фильма. Безумно смешная мокьюментари-комедия Тайки Вайтити. Смотрите онлайн на Кинопоиске.,7.452,10.0,219746.0,"['комедия', 'ужасы']",True,Джемейн Клемент,Джемейн Клемент,['Новая Зеландия'],85,2014
1093,1000 дешевых зажигалок,"Семнадцатилетний Артём — невидимка в семье и бунтарь в техникуме. У него есть лучший друг, Костя, и все провокации и выходки они совершают вместе. Когда руководство техникума составляет неофициальный список опасных подростков — «взрывников», Костя, по чистой случайности, попадает на первое место, которое делает его популярным среди других студентов. Костя упивается интересом к себе — и предает друга, убедив одногруппников, что он, Костя, главный и единственный вдохновитель всех их выходок. Тогда Артём решает доказать, кто здесь на самом деле «взрывник номер один». Но на его пути неожиданно появляется девушка, Кира, которая способна повлиять на его опасный замысел.",,,,['драма'],False,,,['Россия'],91,2022
1094,Шестое чувство,Детский психолог открывает жуткую тайну маленького пациента. Грандиозная мистическая драма с Брюсом Уиллисом. Смотрите онлайн на Кинопоиске.,8.186,10.0,329710.0,"['детектив', 'фэнтези', 'фантастика', 'триллер', 'драма']",True,Кэтлин Кеннеди,М. Найт Шьямалан,['США'],107,1999
1095,Финч,"Постапокалипсис. В Северной Америке бушует радиация, пыльные бури и торнадо. Инженер-робототехник Финч смертельно болен и переживает, что после его смерти некому будет заботиться о его собаке, поэтому собирает для этой цели человекоподобного робота. Узнав, что на местность надвигается супербуря, в которой он не выживет, Финч с собакой и роботами отправляется в Сан-Франциско.",7.171,10.0,94601.0,"['фантастика', 'драма']",True,Джеки Рубин,Мигель Сапочник,"['США', 'Индия']",115,2021
1096,Ветреная река,Агент ФБР приезжает в индейскую резервацию расследовать гибель девушки. Холодная драма о мести. Смотрите онлайн на Кинопоиске.,7.562,10.0,178688.0,"['детектив', 'криминал', 'триллер']",False,Браден Афтегуд,Тейлор Шеридан,"['США', 'Великобритания', 'Франция']",107,2016
1097,Ла-Ла Ленд,Миа и Себастьян выбирают между личным счастьем и амбициями. Трагикомичный мюзикл о компромиссе в жизни артиста. Смотрите онлайн на Кинопоиске.,7.943,10.0,275644.0,"['мюзикл', 'драма', 'мелодрама', 'комедия', 'музыка']",True,Гари Гилберт,Дэмьен Шазелл,"['США', 'Гонконг']",128,2016
1098,Невидимый гость,"Адвокат Вирджиния пытается понять, виновен ли ее подзащитный. Разговорный детективный триллер из Испании. Смотрите онлайн на Кинопоиске.",7.802,10.0,249197.0,"['триллер', 'драма', 'криминал', 'детектив']",True,Мерседес Гамеро,Ориол Паоло,['Испания'],106,2016
1099,Жанна,"Жанна — пятидесятилетняя self-made woman, которая прошла через многое в 90-е годы: нищету, предательство, смерть близких. Теперь у нее своя торговая компания, роскошная квартира и красивый молодой любовник Андрей. Кажется, кроме молодости у Жанны есть все. Но идиллия рушится в один день — Андрей объявляет Жанне, что уходит к девушке Кате, которая ждет от него ребенка.",,,,['драма'],True,,,['Россия'],102,2022
1100,Бывшие. Happy end,"Яна и Илья познакомились во время реабилитации. По правилам им нужно держаться подальше друг от друга, если они хотят оставаться трезвыми. Но чувства, вспыхнувшие между ними, не дают им этого сделать. Они срывались, расставались, искали счастье с другими, но чем дальше убегали от любви, тем больше их тянуло друг к другу.",,,,"['мелодрама', 'драма']",False,,,['Россия'],90,2022
1101,Иди и смотри,Великая Отечественная глазами подростка. Шедевр Элема Климова — один из самых страшных фильмов о войне. Смотрите онлайн на Кинопоиске.,8.177,10.0,115902.0,"['драма', 'военный', 'история']",True,,,['СССР'],136,1985
1102,Доктор Стрэндж,После автокатастрофы хирург становится верховным защитником Земли. В роли супергероя — Бенедикт Камбербэтч. Смотрите онлайн на Кинопоиске.,7.5,10.0,654253.0,"['фантастика', 'фэнтези', 'боевик', 'приключения']",True,Виктория Алонсо,Скотт Дерриксон,['США'],115,2016
1103,Великий уравнитель,"Бывший агент ЦРУ, пожилой афроамериканец Роберт Маккол, решил начать жизнь заново, оставить непростое прошлое и смотреть в будущее, как и обещал покойной жене. Он уже нашёл обычную работу продавца в магазине. Однажды Маккол вступается за юную проститутку Тери, с которой болтал в местной закусочной и которая находится под контролем русской мафии. Маккол прекращает свою добровольную отставку и начинает самостоятельные поиски правосудия. Все, кто страдает от криминальных авторитетов, коррумпированных чиновников и не может найти помощи у государства, находят помощь в лице Маккола. Он поможет. Потому что он — великий уравнитель.",6.999,10.0,216345.0,"['боевик', 'триллер', 'криминал']",True,Тодд Блэк,Антуан Фукуа,['США'],131,2014
1104,Шерлок Холмс,"Величайший в истории сыщик Шерлок Холмс вместе со своим верным соратником Ватсоном вступают в схватку, требующую нешуточной физической и умственной подготовки, ведь их враг представляет угрозу для всего Лондона.",8.064,10.0,595918.0,"['боевик', 'приключения', 'триллер', 'драма', 'комедия', 'криминал', 'детектив']",True,Сьюзан Дауни,Гай Ричи,"['США', 'Германия', 'Великобритания', 'Австралия']",128,2009
1105,Линкольн для адвоката,Адвокат решает доказать вину клиента. Мэттью МакКонахи в судебном триллере по бестселлеру Майкла Коннелли. Смотрите онлайн на Кинопоиске.,7.846,10.0,349446.0,"['криминал', 'триллер', 'драма', 'детектив']",True,Сидни Киммел,Брэд Фурман,['США'],114,2011
1106,О моём перерождении в слизь. Фильм,"Римуру и его спутники оказываются в центре заговора, связанного с таинственной силой королевы.",,,,"['аниме', 'мультфильм', 'фэнтези', 'боевик', 'комедия', 'приключения']",,,,['Япония'],,2022
