,name,description,rating,best_rating,rating_count,genre,for_family,producer,director,country,time,date
331,Твоё имя,"Токийский парень Таки и провинциальная девушка Мицуха обнаруживают, что между ними существует странная связь. Во сне они меняются телами и проживают жизни друг друга. Но однажды эта способность исчезает так же внезапно, как появилась. Таки решает во что бы то ни стало отыскать Мицуху.",8.37,10.0,231332.0,"['аниме', 'мультфильм', 'фэнтези', 'драма', 'мелодрама']",True,Коитиро Ито,Макото Синкай,['Япония'],110,2016
332,Рататуй,Крысенок-кулинар попадает на кухню ресторана. Аппетитная комедия с «Оскаром» за лучший анимационный фильм. Смотрите онлайн на Кинопоиске.,8.024,10.0,627712.0,"['мультфильм', 'приключения', 'комедия', 'семейный', 'фэнтези', 'драма']",True,Джон Лассетер,Брэд Бёрд,['США'],111,2007
333,Престиж,"Роберт и Альфред - фокусники-иллюзионисты, которые на рубеже XIX и XX веков соперничали друг с другом в Лондоне. С годами их дружеская конкуренция на профессиональной почве перерастает в настоящую войну.

Они готовы на все, чтобы выведать друг у друга секреты фантастических трюков и сорвать их исполнение. Непримиримая вражда, вспыхнувшая между ними, начинает угрожать жизни окружающих их людей…",8.519,10.0,562912.0,"['триллер', 'фантастика', 'драма', 'детектив']",True,Кристофер Нолан,Кристофер Нолан,"['Великобритания', 'США']",125,2006
334,Назад в будущее 3,"Док Браун и Марти МакФлай на Диком Западе: один найдет там любовь, другой — своего прапрадеда. Финал трилогии
. Смотрите онлайн на Кинопоиске.",8.189,10.0,327368.0,"['фантастика', 'комедия', 'приключения', 'вестерн', 'семейный']",True,Нил Кэнтон,Роберт Земекис,['США'],118,1990
335,Терминатор 2: Судный день,Перепрограммированный робот должен защитить маленького Джона Коннора. Самый дорогой блокбастер своего времени. Смотрите онлайн на Кинопоиске.,8.326,10.0,410368.0,"['фантастика', 'боевик', 'триллер']",False,Стефани Остин,Джеймс Кэмерон,['США'],137,1991
336,Любовь и голуби,Вася пытается заслужить прощения у семьи. Мощнейший актерский состав под руководством Владимира Меньшова. Смотрите онлайн на Кинопоиске.,8.283,10.0,716438.0,"['мелодрама', 'комедия']",True,,,['СССР'],107,1984
337,Укрощение строптивого,Красавица Лиза перевоспитывает заядлого холостяка. Шекспировские страсти с Адриано Челентано и Орнеллой Мути. Смотрите онлайн на Кинопоиске.,8.386,10.0,316669.0,"['мелодрама', 'комедия']",True,Марио Чекки Гори,Франко Кастеллано,['Италия'],107,1980
338,Гарри Поттер и Дары Смерти: Часть II,"Гарри уничтожил почти все крестражи Волан-де-Морта, но еще не знает о последнем. Финал грандиозной саги. Смотрите онлайн на Кинопоиске.",8.123,10.0,504228.0,"['фэнтези', 'детектив', 'приключения', 'семейный']",True,Дэвид Баррон,Дэвид Йейтс,"['Великобритания', 'США']",130,2011
339,Звёздные войны: Эпизод 3 — Месть ситхов,"Галактику терзает война клонов, Энакина — выбор между долгом и любовью. Лучший приквел о рождении легенды. Смотрите онлайн на Кинопоиске.",8.098,10.0,342417.0,"['фантастика', 'боевик', 'фэнтези', 'приключения']",True,Джордж Лукас,Джордж Лукас,['США'],140,2005
340,12 разгневанных мужчин,"Юношу обвиняют в убийстве собственного отца, ему грозит электрический стул. Двенадцать присяжных собираются, чтобы вынести вердикт: виновен или нет. С начала заседания почти все считают подсудимого виновным, и лишь только один из двенадцати позволил себе усомниться. И он решает убедить остальных в своей правоте.",8.518,10.0,119275.0,"['драма', 'детектив', 'криминал']",True,Генри Фонда,Сидни Люмет,['США'],96,1956
341,Шоу Трумана,"Благополучный страховой агент обнаруживает, что он — герой реалити-шоу. Джим Керри в пророческой антиутопии. Смотрите онлайн на Кинопоиске.",8.269,10.0,459635.0,"['драма', 'комедия']",True,Эдвард С. Фельдман,Питер Уир,['США'],103,1998
342,"Кавказская пленница, или Новые приключения Шурика",Отважный Шурик бросается спасать красавицу Нину из лап похитителей. Добродушная советская комедия. Смотрите онлайн на Кинопоиске.,8.456,10.0,546270.0,"['комедия', 'приключения', 'мелодрама', 'мюзикл']",True,,,['СССР'],82,1966
343,Одержимость,"Юный барабанщик на тернистом пути к величию. Остросюжетная драма Дэмьена Шазелла, отмеченная тремя «Оскарами». Смотрите онлайн на Кинопоиске.",8.347,10.0,340742.0,"['драма', 'музыка']",True,Джейсон Блум,Дэмьен Шазелл,['США'],106,2013
344,Отступники,"Два лучших выпускника полицейской академии оказались по разные стороны баррикады: один из них – агент мафии в рядах правоохранительных органов, другой – «крот», внедрённый в мафию. Каждый считает своим долгом обнаружить и уничтожить противника, но постоянная жизнь в искажённых реалиях меняет внутренний мир героев.",8.454,10.0,429133.0,"['триллер', 'драма', 'криминал']",True,Брэд Грэй,Мартин Скорсезе,"['США', 'Гонконг']",151,2006
345,Семь жизней,"Совершить семь добрых поступков, чтобы исправить страшную ошибку. Уилл Смит — в мощной, пронзительной истории. Смотрите онлайн на Кинопоиске.",8.202,10.0,386547.0,"['драма', 'мелодрама']",True,Тодд Блэк,Габриэле Муччино,['США'],118,2008
346,Иди и смотри,Великая Отечественная глазами подростка. Шедевр Элема Климова — один из самых страшных фильмов о войне. Смотрите онлайн на Кинопоиске.,8.177,10.0,115902.0,"['драма', 'военный', 'история']",True,,,['СССР'],136,1985
347,Пираты Карибского моря: На краю света,Пираты сражаются против короля Англии и морского чудовища. Фантастические приключения с Джонни Деппом. Смотрите онлайн на Кинопоиске.,8.048,10.0,490176.0,"['приключения', 'боевик', 'фэнтези']",True,Джерри Брукхаймер,Гор Вербински,['США'],169,2007
348,Корпорация монстров,В мире монстров есть такая работа — пугать человеческих детей. Смешной мультфильм Pixar про жизнь страшилищ. Смотрите онлайн на Кинопоиске.,8.115,10.0,446257.0,"['мультфильм', 'фэнтези', 'комедия', 'приключения', 'семейный']",True,Дарла К. Андерсон,Пит Доктер,['США'],92,2001
